Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
Lektorvikar,8.2,36224,0,7763,8701,1521,0,102,0,54311,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Lærer,16.9,32347,0,8019,5784,4227,447,54,0,50878,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Læringskonsulent,7.2,35893,0,7963,5089,3542,0,277,0,52765,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Læsevejleder,10.3,35073,0,7523,32,5189,169,0,0,47986,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Løn og Personalekonsulent,26.5,32109,0,6221,49,5083,36,38,5,43542,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Marketingkoordinator,4.5,34275,0,7800,0,4958,406,93,0,47531,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Medhjælper,5.1,21020,0,3456,0,0,0,0,57,24534,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Områdeleder,7.0,56987,0,10932,1312,496,1103,893,0,71724,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Overassistent,11.8,30195,0,6052,164,5373,966,314,0,43064,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pau-underviser,16.4,35784,0,7970,0,4329,2854,48,0,50985,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pedel,33.8,26563,0,5721,89,8642,482,132,14,41643,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pedelmedhjælper,13.4,25799,0,5479,231,7061,878,109,88,39644,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Ph.d. Studerende,9.0,35305,0,7960,5267,2060,684,93,0,51369,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Praktik- og praksiskoordinator,4.9,36704,0,7983,89,4894,1177,198,0,51045,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Programchef,11.0,69822,0,13492,102,0,0,0,0,83417,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Programleder,4.0,58796,0,11405,264,1945,1573,0,0,73984,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Projektkoordinator,22.6,32847,0,6630,923,4843,326,150,2,45721,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Projektleder,35.5,35918,0,8122,1956,7165,515,131,21,53829,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Projektmedarbejder,14.7,35615,0,7378,2169,3219,104,68,0,48553,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Projektøkonom,16.8,33871,0,7397,2477,6779,0,74,5,50603,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk administrativ leder,4.0,55860,0,10697,0,0,0,0,0,66557,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk IT- konsulent,5.0,38616,0,8996,1440,4463,4799,294,0,58608,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk it-vejleder og koor,5.0,35345,0,7308,86,3534,485,0,0,46758,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk Konsulent,44.6,40650,0,8957,289,8789,581,17,0,59284,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk Leder,13.0,54996,0,11014,35,2579,0,0,0,68625,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Pædagogisk medarbejder,3.2,41142,0,7779,376,913,169,0,0,50378,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Receptionist,12.6,28643,0,5609,99,5173,0,41,9,39573,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Redaktør,8.0,34738,0,8884,1579,12551,345,0,0,58097,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Regnskabsmedarbejder,4.7,33038,0,6161,0,4157,0,0,0,43355,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Regnskabspartner,11.4,30021,0,6113,79,6802,0,110,0,43125,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Rektor,13.0,97881,0,20507,261,595,9903,848,0,129994,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Rengøringsassistent,92.5,24575,0,4244,53,2112,817,1,54,31855,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Sanitør,5.0,24412,0,4320,0,2439,630,0,4,31805,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Sekretariatsleder,6.0,63460,0,12041,0,0,0,472,0,75973,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Sekretær,5.9,29722,0,6309,55,7875,521,0,0,44482,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Seminarielektor,33.8,36124,0,9106,9827,4553,612,102,0,60325,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Seminarielærer,4.3,35926,0,9057,4996,7774,992,192,0,58937,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Seminarieoverlærer,3.7,35076,0,8022,9426,3521,795,222,0,57061,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Service- og Driftskoordinator,5.0,25320,0,6918,596,10606,7341,250,0,51030,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Serviceassistent,5.6,25652,0,4342,0,2677,294,0,8,32972,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Servicecentermedarbejder,21.0,28253,0,5437,12,3507,1385,143,7,38743,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Serviceleder,12.0,37037,0,8375,1110,10751,0,153,0,57426,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Servicemedarbejder,37.1,25241,0,5408,51,8781,109,17,24,39630,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Skolebetjent,3.3,30224,0,6735,207,5159,369,0,123,42817,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Skolekonsulent,5.0,40964,0,8848,0,8412,0,0,0,58224,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Souschef,5.0,62980,0,12186,103,0,0,0,0,75269,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Specialarbejder,5.0,25203,0,5259,0,8046,491,0,0,38999,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Specialkonsulent,282.9,47297,0,9180,50,2051,119,164,3,58863,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
SPS vejleder,7.3,32783,0,6814,1184,5060,0,0,0,45840,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studentermedhjælper,4.9,19988,0,3067,0,0,0,0,0,23055,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studentermedhjælper m/kontrakt,22.7,21334,0,3230,33,0,0,18,125,24740,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studerende,10.9,21632,0,3543,12,0,0,0,216,25404,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studieadm. koordinator,86.2,31059,0,6199,672,4932,71,140,16,43088,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studieadministrativ leder,4.0,40329,0,9460,0,8280,4798,0,0,62866,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studieadministrativ medarb.,114.3,31123,0,5835,32,3533,418,106,4,41050,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studieadministrativ partner,104.9,30464,0,5785,83,4063,172,87,14,40668,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studiechef,7.0,71692,0,13931,165,618,2754,0,0,89160,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studiekoordinator,47.9,33855,100,7601,1882,6048,998,85,12,50582,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studieleder,30.0,57361,0,11385,449,303,912,222,0,70633,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studiesekretær,74.0,30707,0,6049,383,4760,438,329,19,42686,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Studievejleder,60.0,36064,0,8277,2241,6596,361,237,1,53779,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Systemadministrator,5.9,33244,0,7214,0,4564,3082,140,12,48255,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Teamkoordinator,21.9,31043,0,7236,1725,8442,1942,84,35,50508,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Teamleder,34.0,50591,0,9954,225,4218,297,348,0,65632,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Tekniker,9.4,32631,0,6645,44,6623,0,71,15,46028,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Teknisk Servicemedarbejder,5.0,28181,0,6077,50,7019,779,333,7,42446,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Uddannelseschef,60.0,64244,0,12575,114,543,388,601,0,78465,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Uddannelsesdekan,9.0,77070,0,14971,156,0,4371,0,0,96569,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Uddannelseskonsulent,11.6,36841,0,8854,1551,8239,1264,78,0,56827,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Uddannelsesleder,171.6,62301,0,12031,192,187,249,229,0,75189,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Uddannelsessekretær,5.0,31876,0,6425,1235,5077,0,400,0,45013,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Udviklingskonsulent,9.6,36172,0,8672,2084,7160,2214,346,0,56649,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Underviser,25.5,35160,0,8664,3547,6337,1749,210,0,55667,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Vejleder,10.4,35206,0,7374,0,4827,258,0,0,47665,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Vicedirektør,4.0,84864,0,16297,0,0,0,0,0,101161,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Videreuddannelsesleder,7.0,68445,0,13014,0,0,0,0,0,81459,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Voksenelev,16.7,23491,0,4027,0,498,0,0,35,28050,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Værkstedsassistent,7.5,30312,0,6748,1492,7952,245,0,0,46749,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Web-konsulent,4.0,34559,0,7736,2491,5470,0,0,0,50255,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Økonomichef,4.0,77088,0,14625,0,0,0,0,0,91714,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Økonomikonsulent,14.0,34823,0,7969,2852,6674,1016,60,0,53394,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Økonomimedarbejder,13.7,31130,0,5944,21,4309,655,61,10,42128,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Økonomipartner,6.8,34830,0,7900,3109,7750,0,370,0,53958,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
Lektor,10.0,36181,0,9718,9548,6954,0,500,0,62900,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Lektor  Arkitekt,15.9,36181,0,9687,9606,6715,0,126,0,62314,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Ph.d. Studerende,5.9,34449,0,6621,2454,1070,0,0,0,44595,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Professor,4.0,54244,0,12213,8385,3859,0,0,0,78701,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Specialkonsulent,7.3,47062,0,9470,159,4087,0,0,0,60779,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Studieadjunkt,5.3,36180,0,8236,862,7365,0,1057,0,53700,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Studielektor,11.4,36180,0,9560,1803,13652,118,613,0,61927,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Videnskabelig assistent,5.8,31891,0,6688,2666,1321,0,143,0,42709,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
Adjunkt,11.8,36181,0,7825,5132,589,287,106,0,50119,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Akademisk medarbejder,3.8,35636,0,7635,2219,3929,0,328,0,49746,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Bibliotekar,5.3,34793,0,7355,61,4678,0,315,0,47202,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Chefkons. m. personaleledelse,19.0,53609,0,12083,1608,10037,517,2686,0,80541,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Chefkonsulent,7.8,50522,0,9608,53,1471,0,267,0,61921,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Fuldmægtig,7.0,34723,0,7438,4579,2173,0,179,0,49091,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
HR-medarbejder,4.5,31925,0,6307,0,6199,0,0,0,44431,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Institutkoordinator,7.6,33203,0,7121,3915,3265,0,219,0,47722,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
IT-Medarbejder,6.5,33518,0,7164,272,6837,0,0,0,47792,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Kommunikationskonsulent,4.0,35253,0,7795,1533,5257,0,313,0,50151,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Kontorfunktionær,3.1,28610,0,5117,0,2759,0,0,0,36487,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Lektor,52.9,36181,0,9216,9422,3623,662,457,0,59560,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Ph.d.-stipendiat,17.9,35161,0,6597,1551,209,0,0,0,43519,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Postdoc,13.2,36024,0,7650,5132,0,0,0,0,48805,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Professor,13.3,52885,0,11133,6793,3068,325,720,0,74924,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Serviceassistent,6.0,24995,0,4193,38,1603,0,0,0,30830,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Servicemedarbejder,5.9,28579,0,5447,500,5074,0,212,321,40134,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Specialkonsulent,15.0,46938,0,8988,46,1638,0,388,0,57998,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Studerende,3.4,22516,0,2551,0,0,0,0,948,26015,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Studieadjunkt,6.4,35838,0,7372,3483,1541,596,197,0,49027,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Studieadministrativ medarb.,5.9,32658,0,6780,1112,5674,0,213,0,46438,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Studielektor,23.6,36082,0,8727,6702,2924,1152,406,0,55993,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Teknologiinstruktør,13.2,30108,0,6466,2710,4732,74,253,17,44361,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Videnskabelig assistent,16.9,33105,0,6937,3888,0,0,0,0,43930,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
Lektor  Arkitekt,6.6,36181,0,9212,9502,3893,299,0,0,59087,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
Ph.d. Studerende,6.3,34863,0,6701,1551,1067,0,0,0,44183,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
Studieadjunkt,11.8,35472,0,7581,4224,913,167,106,0,48462,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
Studielektor,8.8,36180,0,8595,7563,2180,442,0,0,54960,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
Videnskabelig assistent,3.4,28967,0,6130,3872,0,0,0,0,38970,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
Adjunkt,33.5,34867,0,8616,4564,1962,4998,14,0,55020,"2026, 1. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
