Personalekategori,Klasse/Lønramme,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,17.9,29754,0,5207,43,1501,0,280,966,37751,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.31.01 - Udlændingestyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,97.0,28520,0,5015,7,1567,0,236,395,35741,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.31.01 - Udlændingestyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,9.8,45184,0,9675,2176,5428,280,297,0,63040,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
49 - Magistre,64 - Magistre,8.3,42890,0,9551,2443,7126,0,846,0,62857,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
49 - Magistre,65 - Psykologer,11.1,36157,695,9086,84,12200,0,0,0,58223,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,11.3,32278,0,7967,0,9164,0,0,82,49490,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
239 - IT-medarbejdere,"51 - IT-medarbejdere,løngruppe 2",5.0,31675,0,6881,0,7745,0,83,17,46401,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,13.2,31148,0,6336,68,7128,0,32,149,44861,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,8.9,29754,0,6381,66,8553,0,56,19,44828,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
248 - Specialarbejdere m.fl.,"66 - Løngruppe 7, DRKA",12.7,29730,0,5595,134,5327,136,0,12,40933,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
248 - Specialarbejdere m.fl.,"67 - Løngruppe 7, DRKA",19.5,25732,0,4806,154,3825,274,0,587,35379,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
251 - Sygeplejersker,63 - Løngruppe 1,23.4,34872,0,7512,79,3951,401,76,67,46957,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
251 - Sygeplejersker,65 - Løngruppe 3,3.9,43928,0,9736,208,6343,711,690,0,61615,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
602 - HK-/SL-medarbejdere,60 - Centermedarbejdere,141.1,29427,0,5847,143,5574,120,29,2478,43618,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
602 - HK-/SL-medarbejdere,62 - Afdelingsledere,5.0,36035,0,8548,87,14965,1099,0,0,60734,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
602 - HK-/SL-medarbejdere,63 - Centerledere,6.0,43961,0,10032,83,14671,2748,0,0,71495,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
605 - Lærere,51 - Lærere,18.7,35780,0,7417,56,4623,1590,71,137,49673,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
606 - Køkkenmedarbejdere,53 - Køkkenmedhjælpere,20.5,27258,0,5317,249,4490,0,20,1448,38782,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.32.02 - Indkvartering og underhold af asylansøgere m.fl.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,7.0,43153,0,9348,1169,5878,797,476,185,61007,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,30.9,45222,0,9927,935,7868,100,499,98,64650,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
49 - Magistre,64 - Magistre,5.8,44320,0,9568,1564,6391,0,287,0,62128,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,4.0,32772,0,6997,0,9723,0,938,173,50602,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
238 - IT-medarbejdere,55 - IT-medarbejdere - løngruppe 3,15.0,34245,0,8851,66,18834,935,444,82,63457,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
238 - IT-medarbejdere,56 - IT-medarbejdere - løngruppe 4,11.0,35746,0,8471,164,15478,319,947,176,61301,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.34.10 - It-understøttelse af udlændingesagskæden,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,136.0,38041,69,7874,3169,2107,175,414,147,51996,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,7.0,57673,0,14510,12961,0,9906,4643,0,99693,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
49 - Magistre,64 - Magistre,54.1,35959,56,7500,3968,1648,0,277,338,49747,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
49 - Magistre,84 - Bachelorer,4.1,33429,729,7705,5296,3719,0,306,0,51183,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
240 - Kontorfunktionærer,35 - Studerende             (HK),3.3,21050,0,3083,0,0,0,0,0,24132,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,47.9,32057,0,6182,59,5059,195,417,850,44819,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,27.8,29754,0,5295,38,2057,0,180,584,37908,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,3.5,28662,0,5307,111,3082,0,0,480,37642,"2026, 1. kvt.",§14 - Udlændinge- og Integrationsministeriet,§14.41.01 - Hjemrejsestyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,103.6,41685,0,8762,3051,3123,0,998,0,57619,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,14.0,64144,0,16401,9120,790,15615,6917,0,112986,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,8.0,34779,0,7086,1794,6478,0,594,0,50731,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.01 - Departementet,Departement
240 - Kontorfunktionærer,92 - Studerende,5.4,20783,0,3428,36,0,0,170,0,24417,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,451.2,38905,148,8177,3168,2663,17,766,0,53844,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
46 - Jurister/økonomer,84 - Bachelorer,8.0,28268,0,5719,3841,1534,0,209,0,39572,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,21.0,59755,0,14755,12997,3250,4704,4867,0,100328,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
49 - Magistre,64 - Magistre,11.5,43137,0,9090,1632,2865,0,451,0,57175,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
49 - Magistre,65 - Psykologer,5.0,49806,0,10367,184,6287,0,0,0,66644,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
121 - Speciallæger,3 - Speciallægekonsulenter,3.8,83258,0,238,0,0,0,0,122,83618,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
240 - Kontorfunktionærer,35 - Studerende             (HK),13.0,20324,0,3014,0,0,0,0,0,23338,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,15.9,32933,0,6431,312,5359,345,493,2,45874,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,33.7,31020,350,5536,45,1860,53,161,3,39029,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
240 - Kontorfunktionærer,84 - Voksenelever I Provinsen,5.0,23194,0,3909,0,0,0,0,0,27103,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,41.7,27881,0,4824,5,1168,0,234,0,34113,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.21 - Ankestyrelsen,Styrelse
34 - Ergoterapeuter,51 - Ergoterapeuter,4.0,46938,0,9083,277,276,341,417,0,57332,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
44 - Ingeniører,74 - Civilingeniører m.fl,15.0,43020,0,8677,1783,2568,91,222,0,56360,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,187.5,42782,0,8475,2056,1992,73,590,0,55968,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,11.0,60363,0,15779,9306,2777,13755,4053,0,106033,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
49 - Magistre,64 - Magistre,68.1,42731,0,8188,2302,2028,15,636,0,55900,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
65 - Læreruddannede,51 - Lærere(LC).,6.9,40840,0,8617,538,5478,196,480,0,56149,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
93 - Særligt aflønnede,0 - Ingen klasse,8.0,37169,0,8606,4586,4492,383,729,17,55983,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,33.6,35208,0,8545,62,8592,894,570,71,53942,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
238 - IT-medarbejdere,56 - IT-medarbejdere - løngruppe 4,3.8,35745,0,7281,80,7661,724,547,10,52048,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,24.9,33078,0,6136,24,3893,111,552,21,43816,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,5.2,27642,0,5049,0,2381,267,559,8,35906,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
240 - Kontorfunktionærer,92 - Studerende,11.8,20722,0,3435,0,0,0,0,0,24157,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.11.30 - Social- og Boligstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,271.0,39460,416,8195,3044,2177,0,802,0,54095,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,8.0,57539,0,15944,15682,0,13915,0,0,103080,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
49 - Magistre,64 - Magistre,49.9,40212,102,8391,2517,3277,0,384,0,54882,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
49 - Magistre,65 - Psykologer,36.0,38795,0,8499,1304,5487,115,252,0,54452,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,102.7,34387,982,7770,39,5184,0,648,2,49013,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
193 - Socialrådgivere,59 - Ledende Socialrådgivere,4.0,38483,0,11620,0,23007,0,0,0,73110,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,6.0,31398,0,5460,0,1550,0,167,3,38579,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
238 - IT-medarbejdere,56 - IT-medarbejdere - løngruppe 4,7.0,35746,0,6786,47,5385,0,571,81,48616,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,71 - Løngrp1:Provins u.erhv.udd.,24.1,24870,0,4162,0,21,0,0,17,29070,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,7.9,32664,0,6113,0,4284,0,0,0,43061,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,146.2,30771,29,5459,25,1903,0,504,12,38704,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,84 - Voksenelever I Provinsen,7.0,23194,0,3909,0,0,0,0,0,27103,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,4.0,29280,0,5405,0,3267,0,0,0,37952,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,46.4,28662,0,4962,15,901,0,351,6,34897,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,91 - Løngruppe 4,10.8,46409,0,8976,76,8545,0,324,0,64330,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
240 - Kontorfunktionærer,92 - Studerende,7.1,22893,0,3763,0,0,0,140,8,26804,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
750 - Psykologisk konsulent,0 - Ingen klasse,8.8,101920,0,167,0,0,0,0,0,102087,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.12.01 - Familieretshuset,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,4.0,44100,0,8725,955,2427,0,0,0,56207,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.26.66 - Børnerådet,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,11.0,35214,0,8161,124,7348,0,0,0,50846,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.64.05 - Den Uvildige Konsulentordning på Handicapområdet,Andet
60 - Journalister,51 - Journalister,3.9,34476,0,8306,295,8085,2201,172,320,53855,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.64.11 - Døvefilm,Andet
93 - Særligt aflønnede,0 - Ingen klasse,5.2,29094,0,5888,6265,0,0,16,29,41293,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.64.11 - Døvefilm,Andet
49 - Magistre,64 - Magistre,6.0,40812,0,8488,3956,2327,0,208,0,55791,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.71.53 - Center for frivilligt socialt arbejde,Andet
163 - Socialpædagogiske medarbejdere,51 - Medarbejdere uden uddannelse,3.5,23541,0,5322,0,10534,0,0,307,39703,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
163 - Socialpædagogiske medarbejdere,52 - Medarbejdere med uddannelse,31.2,27956,0,5725,1779,7751,668,80,44,44002,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
163 - Socialpædagogiske medarbejdere,53 - Teamledere,9.0,30320,0,7574,1766,16075,254,0,0,55990,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
178 - Værkstedsass./ledere,51 - Værdstedsassistenter/ -ledere,6.2,28733,0,6764,1775,8777,723,0,0,46772,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,6.0,33050,0,7701,0,7139,248,0,0,48139,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,4.9,29754,0,5782,60,5072,0,202,0,40870,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
258 - Kokke og kogersker,"56 - Kokke, Hovedstaden",4.8,28717,0,6012,0,9995,0,129,0,44853,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.72.02 - Kofoeds Skole,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,3.8,47340,0,10088,1262,3194,3271,984,0,66140,"2026, 1. kvt.",§15 - Social- og Boligministeriet,§15.75.66 - Rådet for socialt udsatte,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,189.7,42217,0,8941,2866,3553,24,802,0,58403,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,21.0,62888,0,16119,13046,2465,9710,5238,0,109466,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.01 - Departementet,Departement
49 - Magistre,64 - Magistre,17.8,40533,0,9133,2438,7017,269,749,0,60138,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,12.8,33834,0,6951,149,8054,149,456,6,49600,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.01 - Departementet,Departement
240 - Kontorfunktionærer,92 - Studerende,9.6,21401,0,3404,0,0,0,0,0,24805,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.01 - Departementet,Departement
44 - Ingeniører,74 - Civilingeniører m.fl,5.0,40501,0,8414,2210,2991,0,750,0,54866,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,96.3,43595,0,8951,1827,3157,35,823,35,58422,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,6.7,58820,0,15915,15651,1026,11443,5803,0,108657,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
49 - Magistre,64 - Magistre,82.3,43442,0,9007,1504,3628,176,708,34,58498,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
67 - Læger i Staten,52 - Afdelingslæger,4.4,49116,0,11893,35,15424,0,1677,0,78145,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
67 - Læger i Staten,55 - Læger,8.0,34324,0,8079,0,9289,0,625,0,52318,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
67 - Læger i Staten,90 - Kontraktansatte Chefer,13.0,59393,0,14647,9591,3459,7519,3237,664,98511,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
93 - Særligt aflønnede,0 - Ingen klasse,4.0,45652,0,8214,3562,461,0,1042,0,58930,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,36.3,33128,0,6415,35,5669,0,747,16,46010,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
240 - Kontorfunktionærer,91 - Løngruppe 4,3.8,49110,0,10166,0,11422,1530,2187,0,74415,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
240 - Kontorfunktionærer,92 - Studerende,7.4,21449,0,3407,0,0,0,336,0,25192,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
251 - Sygeplejersker,65 - Løngruppe 3,7.8,43928,0,9320,33,5042,0,107,0,58431,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.11 - Sundhedsstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,77.2,45204,0,9419,1490,4723,0,788,0,61624,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,8.0,58474,0,15490,13543,4242,7790,3594,0,103132,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
49 - Magistre,64 - Magistre,15.8,43113,0,8964,1695,4205,0,974,0,58951,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
67 - Læger i Staten,52 - Afdelingslæger,15.1,49116,0,12062,181,16346,0,716,3119,81541,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
67 - Læger i Staten,55 - Læger,12.3,36180,0,8858,1052,10695,0,135,0,56920,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
67 - Læger i Staten,90 - Kontraktansatte Chefer,15.9,58265,0,15045,16576,2721,4592,2019,3812,103029,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,29.8,31748,0,6301,40,6247,28,756,1,45122,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,12.0,33654,0,6667,414,3685,0,866,0,45285,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,17.8,29647,0,5598,14,4012,61,188,2,39522,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
240 - Kontorfunktionærer,92 - Studerende,6.0,21345,0,3398,0,0,0,0,0,24743,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
251 - Sygeplejersker,65 - Løngruppe 3,28.3,43928,0,10096,222,8646,0,870,0,63762,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.12 - Styrelsen for Patientsikkerhed,Styrelse
44 - Ingeniører,72 - Akademiingeniører m.fl,9.0,40916,0,8718,52,6180,0,509,0,56374,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
44 - Ingeniører,74 - Civilingeniører m.fl,33.8,43571,0,9203,64,6195,0,764,0,59798,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,94.6,45326,74,9551,768,5816,0,1127,0,62661,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,5.0,59595,0,16584,20574,0,10512,4833,0,112098,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
49 - Magistre,64 - Magistre,61.9,43849,104,9626,50,8072,0,808,0,62509,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
64 - Dyrlæger,65 - Dyrlæger,47.5,43469,0,9500,51,7235,0,658,0,60912,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
67 - Læger i Staten,52 - Afdelingslæger,18.9,49117,0,11691,179,14283,0,692,0,75962,"2026, 1. kvt.",§16 - Indenrigs- og Sundhedsministeriet,§16.11.16 - Lægemiddelstyrelsen,Styrelse
