Personalekategori,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
238 - IT-medarbejdere,7.2,30295,0,5630,37,11764,546,1132,41,49445,"2024, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,87.2,25645,0,3936,50,1739,328,244,9,31952,"2024, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
36 - Bygningskonstruktør,5.0,44780,0,9616,2071,6177,2480,333,0,65458,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
44 - Ingeniører,11.8,45313,620,8804,33,4343,0,247,0,59360,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
46 - Jurister/økonomer,310.0,40172,246,8166,2319,3064,1011,764,13,55754,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
49 - Magistre,93.9,38851,90,7963,1367,4650,573,570,4,54068,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
67 - Læger i Staten,13.0,43752,0,10645,2789,15173,216,64,26,72665,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
93 - Særligt aflønnede,4.9,32184,0,4859,5331,0,0,170,467,43011,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
103 - Særligt aflønnede,31.4,34335,356,4987,5100,671,0,392,554,46395,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
104 - Erhvervsvejledere,17.1,30846,313,4675,0,5158,125,147,7,41271,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
127 - Tjenestemænd,2045.7,27798,27,4499,1013,1997,743,266,2575,38917,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
131 - Fængselslærere - tjenestemænd,5.0,32020,0,6395,3302,5493,342,250,214,48016,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
135 - Institutiionsmedarbejdere,57.8,23860,0,3767,51,1563,1766,283,3373,34663,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
137 - Pædagogiske assistenter,57.9,25069,0,6247,1618,5598,339,308,1702,40880,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
138 - Transportbetjente,151.3,23586,0,3767,0,210,0,175,312,28050,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
151 - Fængselslærere m.fl.,106.7,31062,99,6861,1406,3761,211,234,46,43682,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
179 - Håndværkere og Teknikere,13.3,27453,0,5058,452,3972,349,326,90,37699,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
193 - Socialrådgivere,522.2,29695,99,6406,981,3553,331,258,402,41726,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
201 - Tjenestemænd,99.4,33093,202,6802,4139,5769,400,630,925,51960,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
202 - Tjenestemænd - PP,352.0,22062,0,3341,6,184,85,41,1735,27456,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
207 - Tjenestemænd (åremål),16.0,55029,0,10875,8081,5395,12358,1005,84,92828,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
211 - Tjenestemandslignende,6.0,22936,0,3695,477,1104,0,0,2320,30532,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
221 - Køkkenmedhjælpere,24.2,22296,0,3142,80,1266,48,115,1355,28302,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
224 - Servicemedarbejdere,24.0,23864,0,4133,131,3935,225,281,75,32645,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
238 - IT-medarbejdere,39.4,33277,0,6548,988,9550,436,1055,45,51900,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
240 - Kontorfunktionærer,328.6,27276,18,4627,228,3246,141,323,146,36006,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
248 - Specialarbejdere m.fl.,9.4,23103,0,3984,66,3445,483,221,22,31324,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
251 - Sygeplejersker,82.6,28987,0,6527,71,4747,452,222,333,41339,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
258 - Kokke og kogersker,7.0,25520,0,3754,34,4292,221,643,367,34830,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
266 - Køkkenpersonale,15.3,23385,0,4946,24,3060,325,204,236,32179,"2024, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
46 - Jurister/økonomer,56.0,42876,1203,9085,2178,5488,599,805,62,62295,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
49 - Magistre,12.8,41212,0,8838,2841,6378,657,98,0,60022,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
201 - Tjenestemænd,6.3,35240,1747,8359,5499,8734,0,0,1928,61506,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
238 - IT-medarbejdere,32.7,34019,277,6181,22,5636,428,80,64,46708,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
240 - Kontorfunktionærer,22.4,27156,465,4900,11,4831,0,30,181,37575,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.01 - Domstolsstyrelsen,Styrelse
38 - Bibliotekarer,4.8,36760,0,7384,168,4569,0,138,2,49020,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
39 - Erhvervss.kandidater,3.0,35075,2363,7785,2910,4814,0,0,0,52947,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
44 - Ingeniører,5.6,37713,1758,7683,631,3902,0,200,0,51887,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
46 - Jurister/økonomer,255.2,36708,235,8255,7843,3554,2141,73,1,58809,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
49 - Magistre,15.5,36873,0,7181,1708,2839,0,3,0,48603,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
103 - Særligt aflønnede,5.2,69776,0,155,0,0,0,510,0,70440,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
201 - Tjenestemænd,542.5,54816,64,12397,2111,19491,308,130,59,89376,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
224 - Servicemedarbejdere,15.9,25370,0,4445,251,2897,133,131,93,33319,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
238 - IT-medarbejdere,10.9,33804,685,5741,79,5772,0,405,6,46493,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
240 - Kontorfunktionærer,1131.8,28733,130,4648,119,1295,109,121,28,35183,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
252 - Vagtfunktionærer,55.8,24623,56,4236,47,2714,143,105,26,31951,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.02 - Retterne,Andet
46 - Jurister/økonomer,21.3,38129,0,7961,3628,3485,875,1210,0,55288,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.04 - Procesbevillingsnævnet,Andet
240 - Kontorfunktionærer,8.0,27833,0,4545,0,1263,95,419,0,34155,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.04 - Procesbevillingsnævnet,Andet
46 - Jurister/økonomer,3.4,46070,0,10059,4319,7301,0,245,0,67993,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
201 - Tjenestemænd,5.0,49423,0,10541,2548,15464,0,53,0,78029,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
240 - Kontorfunktionærer,67.5,29087,0,4790,20,1304,389,498,7,36096,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.05 - Tinglysning,Andet
46 - Jurister/økonomer,21.8,36229,0,7216,2729,2805,0,873,0,49853,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.06 - Ungdomskriminalitetsnævnet,Andet
240 - Kontorfunktionærer,9.8,26422,0,4238,0,1818,0,306,0,32783,"2024, 1. kvt.",§11 - Justitsministeriet,§11.41.06 - Ungdomskriminalitetsnævnet,Andet
22 - Civiløkonomer,11.8,38505,0,7908,2082,4829,0,734,99,54158,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
44 - Ingeniører,9.0,44783,0,9095,0,5523,1832,1036,0,62269,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
46 - Jurister/økonomer,307.9,40363,96,8178,1500,4729,756,1294,53,56969,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
49 - Magistre,22.5,39943,0,7975,1169,4625,384,717,2,54815,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
60 - Journalister,4.0,31007,0,13079,208,37777,3226,1083,0,86381,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
188 - Officerer,45.9,38450,151,8740,7055,1915,5263,1752,720,64046,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
189 - Mil.tjenestemænd,11.0,42507,0,8237,4285,7837,2974,1705,1754,69298,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
200 - Spec.Arb (3f),3.1,23638,0,3834,450,1443,0,300,226,29891,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
201 - Tjenestemænd,27.0,46731,0,10801,3768,14435,3223,1564,81,80601,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
208 - Stampers.Tjm. CS,27.0,27381,0,5910,5043,4392,0,1056,224,44005,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
211 - Tjenestemandslignende,6.0,32156,0,6743,353,5983,0,889,188,46312,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
228 - Faglærte Arbejdere,6.0,26867,0,4979,770,4526,0,1168,370,38681,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
238 - IT-medarbejdere,7.0,41132,0,7691,58,9319,1980,1583,177,61940,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
240 - Kontorfunktionærer,84.0,30433,178,5524,202,5473,0,767,144,42721,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
"643 - Officerer m.fl. OK, HOD",8.8,35945,0,7943,5388,3252,0,814,434,53776,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.11.01 - Departementet,Departement
22 - Civiløkonomer,5.0,40283,0,7729,2025,2273,0,775,0,53085,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
39 - Erhvervss.kandidater,6.8,39461,0,7672,1961,2876,0,122,0,52093,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
44 - Ingeniører,5.0,39600,0,7941,0,5633,0,617,0,53790,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
46 - Jurister/økonomer,128.2,40648,34,8036,1571,3336,753,869,17,55263,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
49 - Magistre,55.3,36506,49,7042,1640,2697,80,524,5,48543,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
103 - Særligt aflønnede,4.2,60952,0,8732,800,0,0,0,62,70546,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
121 - Speciallæger,6.8,55146,0,10949,625,4179,0,0,389,71287,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
188 - Officerer,52.1,36897,114,8341,6357,1414,4402,1624,636,59785,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
201 - Tjenestemænd,7.0,36587,0,8129,1695,9983,0,1607,313,58314,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
208 - Stampers.Tjm. CS,39.0,27400,0,5859,4662,4623,73,735,535,43886,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
211 - Tjenestemandslignende,5.0,32981,0,6832,1080,6260,0,1100,269,48524,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
236 - Laboratoriefunktionærer,4.0,30514,0,5887,247,7737,0,563,302,45250,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
240 - Kontorfunktionærer,166.9,29279,19,5023,55,2911,6,367,79,37740,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
268 - Stampersonel (OK- CS),14.8,28110,0,6225,2395,4439,0,589,409,42167,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
"643 - Officerer m.fl. OK, HOD",6.0,31020,0,7089,7972,1462,0,1264,1161,49968,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.01 - Forsvarsministeriets Personalestyrelse, Egen virksomhed",Styrelse
166 - Stampersonel A-Løn,106.0,21946,0,2245,4186,28,0,76,454,28933,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
171 - Stampers.Tjm. HKKF,10.0,24423,0,4458,4401,1130,0,100,1,34513,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
172 - Lærlinge og elever,182.9,17936,0,2246,0,772,5,104,19,21081,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
188 - Officerer,6.0,33109,0,7019,4840,1393,3993,1937,517,52807,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
200 - Spec.Arb (3f),25.0,19319,0,2141,61,0,0,116,97,21734,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
208 - Stampers.Tjm. CS,16.0,24927,0,5514,7702,1876,247,656,27,40949,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
216 - Stampersonel HKKF,10.0,23405,0,3675,2728,554,222,71,1605,32260,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
240 - Kontorfunktionærer,79.3,20133,0,2432,0,0,0,8,35,22608,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
258 - Kokke og kogersker,14.1,21312,0,1305,0,0,0,4,238,22859,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
266 - Køkkenpersonale,5.2,19040,0,1752,0,0,0,332,108,21231,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
268 - Stampersonel (OK- CS),8.0,23211,0,5058,4209,731,0,273,2561,36044,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
276 - Stampersonel Cs,227.9,24080,0,4581,3147,112,0,272,773,32964,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.02 - Forsvarsministeriets Personalestyrelse, Funktionel Virksomhed",Styrelse
188 - Officerer,10.3,40685,0,10494,6618,5732,5664,3647,6137,78976,"2024, 1. kvt.",§12 - Forsvarsministeriet,"§12.12.03 - Forsvarsministeriets Personalestyrelse, Centralt Styrede Enheder",Styrelse
46 - Jurister/økonomer,6.0,39599,0,8085,999,5870,0,861,82,55496,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
49 - Magistre,48.1,35885,0,7575,5707,4381,582,657,22,54810,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
103 - Særligt aflønnede,8.5,33799,0,5523,396,0,0,0,84,39802,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
188 - Officerer,6.0,42309,0,10490,5987,2246,4751,2661,71,68515,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
193 - Socialrådgivere,43.9,32726,283,6778,1479,3396,0,429,444,45534,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
240 - Kontorfunktionærer,17.0,29194,0,5177,84,3607,0,515,106,38683,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.12.05 - Veterancenter,Andet
22 - Civiløkonomer,24.0,41038,0,7867,1739,5166,0,358,72,56239,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
38 - Bibliotekarer,5.0,38118,0,8191,2397,6574,0,500,157,55938,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
39 - Erhvervss.kandidater,5.5,39484,0,7518,640,3043,0,662,0,51346,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
44 - Ingeniører,320.0,37564,64,8348,445,9918,147,717,164,57367,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
46 - Jurister/økonomer,226.0,41433,79,8611,1176,6883,129,692,36,59038,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
49 - Magistre,89.1,38449,0,7880,1365,5715,45,313,21,53788,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
50 - Tekniske funktionærer,14.0,25109,0,5495,2021,6376,0,372,81,39454,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
54 - Maskinmestre,20.1,30812,260,7405,18,11222,0,364,427,50508,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
60 - Journalister,4.0,26519,0,5044,156,5064,0,500,0,37283,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
84 - Farmaceuter,4.0,41063,0,8583,898,7215,0,1250,0,59009,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
103 - Særligt aflønnede,5.0,41530,0,7167,2285,0,0,0,0,50983,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
171 - Stampers.Tjm. HKKF,79.1,24716,53,5165,5459,3042,0,517,1481,40432,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
188 - Officerer,239.9,38306,256,9110,6992,1616,5775,1795,2030,65879,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
200 - Spec.Arb (3f),234.1,25259,17,3939,464,1202,19,300,366,31565,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
201 - Tjenestemænd,97.4,30206,276,6117,665,5217,0,679,638,43798,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
208 - Stampers.Tjm. CS,178.9,26548,208,5859,6861,3931,37,679,2376,46498,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
"209 - CS CIV, OK",46.2,30641,259,6277,105,2279,0,189,211,39962,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
211 - Tjenestemandslignende,76.5,29482,512,6380,122,4000,0,562,545,41603,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
216 - Stampersonel HKKF,22.0,24152,0,4140,3144,2519,0,227,1210,35392,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
220 - Tjm.ans. Mekanikere,5.0,22790,0,5566,12425,1214,0,700,136,42830,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
228 - Faglærte Arbejdere,14.0,27048,0,5342,1283,5179,0,387,390,39630,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
236 - Laboratoriefunktionærer,8.0,27245,0,5157,78,5754,0,521,229,38984,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
238 - IT-medarbejdere,312.8,32192,34,6126,118,8124,120,485,611,47810,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
240 - Kontorfunktionærer,342.8,28949,158,5062,95,4534,14,417,166,39393,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
268 - Stampersonel (OK- CS),19.0,26861,0,6379,4266,4773,0,570,2009,44859,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
276 - Stampersonel Cs,16.1,24035,243,5463,6310,3737,0,372,1590,41749,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
"643 - Officerer m.fl. OK, HOD",42.8,35606,0,8073,4605,5127,62,892,1637,56002,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.13.01 - Forsvarsministeriets Materiel- og Indkøbsstyrelse,Styrelse
22 - Civiløkonomer,7.0,42925,0,8145,1624,2359,0,976,159,56189,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
36 - Bygningskonstruktør,81.0,34760,0,7917,57,9536,180,319,13,52784,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
43 - Arkitekter,16.8,38232,0,8176,298,8362,0,298,86,55453,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
44 - Ingeniører,70.3,37487,0,8037,345,7776,344,413,83,54485,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
46 - Jurister/økonomer,93.3,40127,176,7833,1679,2926,399,414,30,53584,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
49 - Magistre,41.0,37994,109,7261,1669,2290,0,287,27,49638,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
50 - Tekniske funktionærer,12.0,24896,0,5705,1666,8414,0,243,141,41066,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
54 - Maskinmestre,38.5,32500,0,7258,2797,9772,0,435,394,53156,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
85 - Landinspektører,6.0,45699,0,8376,0,2124,0,278,0,56477,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
86 - Jordbrugsakademikere,8.0,38863,0,7838,1454,3082,1659,750,0,53647,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
103 - Særligt aflønnede,19.0,36768,0,5971,0,0,0,57,385,43181,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
171 - Stampers.Tjm. HKKF,19.0,23081,0,4395,3239,1624,0,342,3576,36257,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
174 - Skov - og Landskabsingeniører,4.0,33204,0,6743,0,3026,0,0,122,43095,"2024, 1. kvt.",§12 - Forsvarsministeriet,§12.14.01 - Forsvarsministeriets Ejendomsstyrelse,Styrelse
