Personalekategori,Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
286 - Ledere og Lærere,Lektor,131.8,35220,0,8471,8476,4216,426,49,113,56971,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
287 - Ledere og Lærere,Lektor,16.1,35555,0,8427,9495,3693,454,0,241,57865,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
289 - Kantineledere,Kantineleder,5.0,26360,0,7028,0,21073,0,0,0,54461,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
291 - Sanitører,Sanitør,6.5,23693,0,3929,34,2126,748,0,24,30554,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Administrativ Leder,5.0,56126,0,10099,0,0,0,250,0,66476,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Afdelingschef,12.0,71733,0,13119,51,0,0,208,60,85171,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Afdelingsleder,6.0,59540,0,10836,0,0,0,597,0,70973,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Campuschef,6.0,57659,0,10613,0,0,0,0,0,68271,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Centerchef,6.0,76160,0,13943,99,0,0,625,116,90942,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Centerleder,10.0,64348,0,11813,59,0,0,0,0,76219,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Chef,15.0,70599,0,12639,0,0,0,917,0,84155,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Direktør,14.0,96683,0,18256,63,193,3341,0,74,118608,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Forskningschef,6.0,71091,0,12994,0,0,0,417,0,84502,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",HR-Chef,4.0,70071,0,12628,0,0,0,729,0,83428,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Institutchef,12.0,77658,0,14086,169,0,0,0,136,92049,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Kommunikationschef,7.0,66079,0,11893,0,0,0,381,0,78353,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Leder,36.9,64336,0,11636,31,0,0,414,38,76456,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Programchef,4.0,65656,0,12631,271,0,2995,0,152,81706,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Pædagogisk Leder,11.0,56748,0,10271,0,0,0,606,0,67625,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Rektor,9.0,97992,0,19802,208,845,11294,0,245,130387,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Sekretariatsleder,5.0,60518,0,10984,0,0,0,200,0,71702,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Studiechef,5.0,73279,0,14020,4056,0,742,1417,116,93629,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Studieleder,18.0,55767,0,10410,123,0,391,880,59,67630,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Teamleder,18.0,54605,0,10193,52,118,75,37,26,65107,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Uddannelseschef,34.0,65011,0,11885,76,0,0,613,72,77657,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Uddannelsesdekan,7.0,76048,0,14678,99,0,5526,417,114,96882,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Uddannelsesdirektør,4.0,76293,0,15248,159,0,6710,0,187,98596,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Uddannelsesleder,107.1,61848,0,11195,14,9,0,184,4,73255,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Vicedirektør,4.0,79068,0,14711,0,0,3595,0,0,97374,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"572 - Chefer, UFO (Akademikerne)",Videreuddannelsesleder,6.0,66516,0,11962,0,0,0,126,0,78604,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"573 - Chefer, UFO (CO10)",Studieleder,6.0,58904,0,10963,74,0,691,278,87,70997,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"573 - Chefer, UFO (CO10)",Uddannelseschef,14.0,62588,0,12027,3519,237,0,387,94,78853,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"573 - Chefer, UFO (CO10)",Uddannelsesleder,45.0,60420,0,11174,97,0,0,113,102,71905,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
"574 - Chefer, UFO (LC)",Uddannelsesleder,4.0,60563,0,11208,0,0,0,0,0,71771,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
747 - Rengøringsassistenter,Rengøringsassistent,33.8,23617,0,3731,82,1498,822,0,49,29798,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.25.01 - Faste uddannelsestilskud til erhvervsakademier, professionshøjskoler mv.",Andet
43 - Arkitekter,Adjunkt. Arkitekt,6.9,35571,0,7827,5168,3853,0,437,0,52856,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Lektor,7.0,35571,0,8939,9342,6015,190,143,0,60200,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Lektor  Arkitekt,14.0,35571,0,8751,9400,5047,0,214,33,59016,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Studieadjunkt,8.3,35571,0,7654,960,7024,0,241,0,51450,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Studielektor,7.2,35571,0,8763,3053,10935,511,277,110,59221,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Videnskabelig Ass.,4.0,33178,0,6548,2855,1197,0,0,0,43779,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
43 - Arkitekter,Videnskabelig assistent,3.6,29507,0,5936,823,2984,0,0,0,39251,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
553 - Ph.d. Stipendiater,Ph.d. Studerende,5.0,31375,0,5669,1525,616,0,0,0,39185,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.07 - Arkitektskolen Aarhus,Andet
38 - Bibliotekarer,Bibliotekar,5.6,34192,0,6777,57,4146,0,400,68,45640,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Adjunkt,8.8,35571,0,7449,5045,1271,505,521,0,50361,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Chefkons. m. personaleledelse,7.0,52706,0,11273,731,7191,4140,2649,91,78781,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Lektor,32.7,35571,0,8424,9365,2458,713,127,27,56685,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Professor,8.0,53329,0,10766,7240,977,253,573,73,73212,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Studieadjunkt,4.4,35715,0,6951,3285,599,854,0,0,47405,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Studielektor,14.0,35570,0,8186,7417,901,1107,0,60,53241,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Videnskabelig assistent,14.4,31193,0,6198,3798,77,0,0,0,41268,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
46 - Jurister/økonomer,Chefkons. m. personaleledelse,4.0,52706,0,11180,4640,6878,0,2188,165,77756,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
46 - Jurister/økonomer,Chefkonsulent,3.9,49670,0,9108,0,2395,0,1035,0,62208,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
46 - Jurister/økonomer,Specialkonsulent,7.0,46146,0,8405,0,1849,0,179,0,56580,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Adjunkt,3.9,35570,0,7253,5045,603,0,0,0,48472,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Chefkons. m. personaleledelse,4.0,52706,0,11203,137,11513,0,2162,0,77720,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Konservator,5.0,32611,0,6310,971,2162,0,0,85,42140,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Lektor,13.8,35571,0,8975,9840,4935,965,362,138,60785,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Specialkonsulent,10.4,46146,0,8380,35,1442,160,144,41,56349,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
49 - Magistre,Studielektor,6.3,35570,0,8097,7506,2256,892,0,93,54414,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
179 - Håndværkere og Teknikere,Teknologiinstruktør,14.3,29617,0,5716,2906,4111,67,291,69,42777,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
239 - IT-medarbejdere,IT-Medarbejder,5.0,32509,0,6261,193,6999,0,0,223,46185,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
240 - Kontorfunktionærer,HR-medarbejder,4.8,31100,0,5713,0,5616,0,260,0,42688,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
240 - Kontorfunktionærer,Institutkoordinator,4.4,30180,0,4788,45,3179,0,0,49,38241,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
240 - Kontorfunktionærer,Studieadministrativ medarb.,3.8,30331,0,5508,76,4927,0,0,87,40929,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
553 - Ph.d. Stipendiater,Ph.d.-stipendiat,22.8,33508,0,6107,1538,287,0,73,0,41513,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
747 - Rengøringsassistenter,Serviceassistent,4.0,24368,0,3168,57,2116,0,0,64,29773,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,"§19.28.08 - Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",Andet
43 - Arkitekter,Adjunkt,6.0,35571,0,7768,5045,3327,323,0,0,52034,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
43 - Arkitekter,Studieadjunkt,15.2,34978,0,6985,3787,716,127,27,0,46621,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
43 - Arkitekter,Studielektor,6.7,35571,0,8128,7466,2439,854,62,0,54519,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
43 - Arkitekter,Videnskabelig assistent,9.5,30556,0,6098,3927,0,0,0,0,40581,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
49 - Magistre,AC-medarbejder,5.0,35571,0,7088,5215,912,0,0,0,48787,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
553 - Ph.d. Stipendiater,Ph.d. Studerende,7.0,32870,0,6027,1525,1219,0,0,0,41641,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.28.25 - Designskolen Kolding,Andet
44 - Ingeniører,Adjunkt,8.5,35571,0,7710,4361,1290,2690,117,97,51836,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
44 - Ingeniører,Adjunkt.maritime Udd,4.0,35571,0,8595,7053,3604,2080,292,0,57194,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
44 - Ingeniører,Lektor,8.0,35571,0,9075,8602,2674,5064,0,0,60985,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
44 - Ingeniører,Lektor maritime Udd.,34.3,35571,0,9169,8632,5864,2191,207,97,61730,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
46 - Jurister/økonomer,Lektor maritime Udd.,5.0,35571,0,9339,8494,5852,3537,0,0,62793,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
49 - Magistre,Lektor maritime Udd.,5.0,35571,0,8829,8494,6100,310,167,0,59471,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
49 - Magistre,Studievejleder,5.0,35163,0,7570,1850,4849,1748,500,0,51680,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
54 - Maskinmestre,Adjunkt,12.0,32863,0,8026,4417,1605,6937,243,9,54101,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
54 - Maskinmestre,Adjunkt under opkvalificering,5.0,32863,0,7466,5555,3335,880,100,0,50198,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
54 - Maskinmestre,Adjunkt.maritime Udd,15.0,32873,0,7971,5654,6010,987,222,0,53716,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
54 - Maskinmestre,Lektor,10.0,32863,0,8506,10762,3321,2677,183,47,58358,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
54 - Maskinmestre,Lektor maritime Udd.,43.4,32863,0,9214,10169,7952,2325,81,99,62701,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
66 - Lærere Maritime uddannelser,Faglærer,21.0,32022,0,7810,3399,5630,638,484,0,49984,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
66 - Lærere Maritime uddannelser,Instruktør,9.0,31711,0,7467,3419,4653,0,306,0,47555,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
66 - Lærere Maritime uddannelser,Lærer,4.0,32340,0,8486,3382,9718,0,0,0,53925,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
66 - Lærere Maritime uddannelser,Underviser,6.0,31387,0,7604,3382,5771,0,0,0,48144,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
93 - Særligt aflønnede,Lektor maritime Udd.,4.0,35797,0,9073,13210,0,0,0,0,58080,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
211 - Tjenestemandslignende,Faglærer,4.0,31387,0,5796,3547,6222,343,0,192,47487,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
211 - Tjenestemandslignende,Underviser,5.0,31578,0,2388,4539,8243,166,150,82,47146,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
238 - IT-medarbejdere,IT-Medarbejder,5.0,33383,0,5738,71,4952,0,167,82,44393,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
240 - Kontorfunktionærer,Studiesekretær,8.7,29999,0,5406,0,4335,339,96,0,40175,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
266 - Køkkenpersonale,Ernæringsassistent,3.9,25141,0,4962,0,677,0,0,0,30780,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
286 - Ledere og Lærere,Adjunkt,5.0,35571,0,7565,4298,3214,0,0,0,50648,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
286 - Ledere og Lærere,Adjunkt under opkvalificering,5.0,35354,0,7621,4298,3756,0,0,0,51029,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
286 - Ledere og Lærere,Lektor maritime Udd.,8.0,35571,0,8850,8543,6186,294,0,0,59443,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
594 - Skibsassistenter,Befaren skibsassistent,3.0,20911,0,2044,17573,510,0,0,310,41347,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.29.03 - Maritime grunduddannelser,Andet
49 - Magistre,Afdelingsleder,4.0,52158,0,10823,9978,0,0,0,0,72959,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
49 - Magistre,Psykolog,12.6,35570,0,7420,31,6522,78,554,36,50211,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
49 - Magistre,Rådgiver,69.5,34709,0,7021,10,4105,462,302,7,46616,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
193 - Socialrådgivere,Rådgiver,15.8,34614,0,7223,0,3787,0,253,0,45876,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
193 - Socialrådgivere,Socialrådgiver,12.6,34613,0,7507,53,5092,191,556,31,48044,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
240 - Kontorfunktionærer,Kontorfuldmægtig,3.9,33283,0,4533,0,3177,0,0,0,40993,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.24 - Studenterrådgivningen,Andet
46 - Jurister/økonomer,Bachelorfuldmægtig,3.8,28399,0,5689,4082,0,0,888,0,39057,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.25 - Danmarks Akkrediteringsinstitution,Andet
46 - Jurister/økonomer,Chefkonsulent,4.0,49671,0,9687,121,5699,0,0,0,65177,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.25 - Danmarks Akkrediteringsinstitution,Andet
46 - Jurister/økonomer,Fuldmægtig,7.0,32870,0,7028,4598,3708,0,595,0,48799,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.25 - Danmarks Akkrediteringsinstitution,Andet
49 - Magistre,Specialkonsulent,4.4,46146,0,9473,0,1603,0,473,0,57696,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.25 - Danmarks Akkrediteringsinstitution,Andet
46 - Jurister/økonomer,Studie-og Karrierevejleder,7.4,35982,0,7419,4109,3196,0,227,0,50933,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
49 - Magistre,Chefkons. m. personaleledelse,4.0,52706,0,10394,594,6326,0,990,0,71010,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
49 - Magistre,Fuldmægtig,3.2,30800,0,6050,2809,1329,0,414,0,41402,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
49 - Magistre,Studie-og Karrierevejleder,35.0,35620,0,7522,3696,4206,222,187,62,51515,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
93 - Særligt aflønnede,Studie-og Karrierevejleder,6.9,35843,0,6584,1477,0,0,113,0,44016,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
240 - Kontorfunktionærer,Studie-og Karrierevejleder,5.0,33383,0,6171,59,6380,0,114,68,46176,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.35.26 - Studievalg Danmark,Andet
46 - Jurister/økonomer,Fuldmægtig,10.0,33065,0,6794,4384,2300,0,100,0,46643,"2024, 2. kvt.",§19 - Uddannelses- og Forskningsministeriet,§19.44.02 - Danmarks Innovationsfonds sekretariat,Andet
